team,ishome,week,pts,ptsallowed
PIT,1,1,13,10
TEN,0,1,10,13
ATL,1,1,19,7
MIA,0,1,7,19
BAL,1,1,38,24
KC,0,1,24,38
CAR,1,1,10,38
PHI,0,1,38,10
CIN,1,1,7,12
DEN,0,1,12,7
CLE,1,1,20,34
MIN,0,1,34,20
HOU,1,1,7,24
NYJ,0,1,24,7
IND,1,1,14,12
JAC,0,1,12,14
NO,1,1,45,27
DET,0,1,27,45
TB,1,1,21,34
DAL,0,1,34,21
ARI,1,1,16,20
SF,0,1,20,16
NYG,1,1,23,17
WAS,0,1,17,23
SEA,1,1,28,0
STL,0,1,0,28
GB,1,1,21,15
CHI,0,1,15,21
NE,1,1,25,24
BUF,0,1,24,25
OAK,1,1,20,24
SD,0,1,24,20
ATL,1,2,28,20
CAR,0,2,20,28
DET,1,2,13,27
MIN,0,2,27,13
GB,1,2,24,31
CIN,0,2,31,24
JAC,1,2,17,31
ARI,0,2,31,17
KC,1,2,10,13
OAK,0,2,13,10
NYJ,1,2,16,9
NE,0,2,9,16
PHI,1,2,22,48
NO,0,2,48,22
TEN,1,2,31,34
HOU,0,2,34,31
WAS,1,2,9,7
STL,0,2,7,9
BUF,1,2,33,20
TB,0,2,20,33
SF,1,2,23,10
SEA,0,2,10,23
CHI,1,2,17,14
PIT,0,2,14,17
DEN,1,2,27,6
CLE,0,2,6,27
SD,1,2,26,31
BAL,0,2,31,26
DAL,1,2,31,33
NYG,0,2,33,31
MIA,1,2,23,27
IND,0,2,27,23
BAL,1,3,34,3
CLE,0,3,3,34
CIN,1,3,23,20
PIT,0,3,20,23
DET,1,3,19,14
WAS,0,3,14,19
HOU,1,3,24,31
JAC,0,3,31,24
MIN,1,3,27,24
SF,0,3,24,27
NE,1,3,26,10
ATL,0,3,10,26
PHI,1,3,34,14
KC,0,3,14,34
STL,1,3,17,36
GB,0,3,36,17
TB,1,3,0,24
NYG,0,3,24,0
BUF,1,3,7,27
NO,0,3,27,7
SEA,1,3,19,25
CHI,0,3,25,19
NYJ,1,3,24,17
TEN,0,3,17,24
OAK,1,3,3,23
DEN,0,3,23,3
SD,1,3,23,13
MIA,0,3,13,23
ARI,1,3,10,31
IND,0,3,31,10
DAL,1,3,21,7
CAR,0,3,7,21
CHI,1,4,48,24
DET,0,4,24,48
CLE,1,4,20,23
CIN,0,4,23,20
HOU,1,4,29,6
OAK,0,4,6,29
IND,1,4,34,17
SEA,0,4,17,34
JAC,1,4,37,17
TEN,0,4,17,37
KC,1,4,16,27
NYG,0,4,27,16
NE,1,4,27,21
BAL,0,4,21,27
WAS,1,4,16,13
TB,0,4,13,16
MIA,1,4,38,10
BUF,0,4,10,38
NO,1,4,24,10
NYJ,0,4,10,24
DEN,1,4,17,10
DAL,0,4,10,17
SF,1,4,35,0
STL,0,4,0,35
PIT,1,4,38,28
SD,0,4,28,38
MIN,1,4,30,23
GB,0,4,23,30
BAL,1,5,14,17
CIN,0,5,17,14
BUF,1,5,3,6
CLE,0,5,6,3
CAR,1,5,20,17
WAS,0,5,17,20
DET,1,5,20,28
PIT,0,5,28,20
KC,1,5,20,26
DAL,0,5,26,20
NYG,1,5,44,7
OAK,0,5,7,44
PHI,1,5,33,14
TB,0,5,14,33
STL,1,5,10,38
MIN,0,5,38,10
SF,1,5,10,45
ATL,0,5,45,10
ARI,1,5,28,21
HOU,0,5,21,28
DEN,1,5,20,17
NE,0,5,17,20
SEA,1,5,41,0
JAC,0,5,0,41
TEN,1,5,9,31
IND,0,5,31,9
MIA,1,5,31,27
NYJ,0,5,27,31
CIN,1,6,17,28
HOU,0,6,28,17
GB,1,6,26,0
DET,0,6,0,26
JAC,1,6,23,20
